"goingout","gender","age","country","state","X100grandbar","maryjanes","blackjacks","bonkers","bottlecaps","butterfinger","cadburycremeeggs","candycorn","caramellos","chickosticks","chiclets","coffeecrisp","dots","googooclusters","goodplenty","gummybears","heathbar","hersheysdarkchocolate","hersheysmilkchocolate","hersheyskisses","jollyranchers","almondjoy","juniormints","kinderhappyhippo","kitkat","laffytaffy","lemonhead","redlicorice","blacklicorice","lindttruffle","lollipops","mars","maynards","mikeike","milkduds","milkyway","mms","peanutbuttermms","hersheysmintkisses","mrgoodbar","neccowafers","nerds","crunchbar","nowlater","peeps","pixiesticks","reesespeanutbuttercup","reesespieces","reggiejacksonbar","rolos","skittles","americansmarties","europeansmarties","snickers","sourpatchkids","starburst","sweettarts","swedishfish","sweetumsafriendtodiabetes","take5","tictacs","X3musketeers","tolberone","trailmix","twix","yorkpeppermintpatties"
"No","Female",50,"USA","IL","MEH","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","DESPAIR","DESPAIR","DESPAIR","JOY","JOY","JOY","JOY","JOY","DESPAIR","DESPAIR","JOY","DESPAIR","JOY","DESPAIR","MEH","DESPAIR","DESPAIR","JOY","DESPAIR","JOY","DESPAIR","DESPAIR","DESPAIR","MEH","JOY","JOY","JOY","JOY","DESPAIR","DESPAIR","MEH","DESPAIR","DESPAIR","DESPAIR","JOY","MEH","DESPAIR","MEH","MEH","DESPAIR","DESPAIR","JOY","DESPAIR","DESPAIR","DESPAIR","JOY","DESPAIR","DESPAIR","JOY","MEH","JOY","MEH","JOY","JOY"
"No","Male",34,"USA","NY","JOY","DESPAIR","MEH","DESPAIR","DESPAIR","JOY","JOY","DESPAIR","MEH","MEH","MEH","MEH","MEH","MEH","JOY","MEH","JOY","JOY","MEH","MEH","JOY","JOY","JOY","MEH","JOY","MEH","MEH","MEH","MEH","JOY","MEH","JOY","MEH","MEH","MEH","JOY","JOY","JOY","MEH","MEH","MEH","MEH","JOY","DESPAIR","MEH","DESPAIR","JOY","JOY","MEH","MEH","MEH","DESPAIR","MEH","JOY","JOY","MEH","DESPAIR","MEH","JOY","MEH","MEH","JOY","JOY","DESPAIR","JOY","MEH"
"No","Female",44,"CANADA","AB","MEH","MEH","DESPAIR","DESPAIR","JOY","MEH","MEH","JOY","MEH","DESPAIR","DESPAIR","JOY","DESPAIR","JOY","DESPAIR","JOY","MEH","DESPAIR","DESPAIR","DESPAIR","JOY","DESPAIR","MEH","DESPAIR","JOY","MEH","DESPAIR","MEH","MEH","JOY","MEH","JOY","MEH","DESPAIR","DESPAIR","JOY","MEH","JOY","MEH","MEH","DESPAIR","JOY","MEH","DESPAIR","MEH","JOY","JOY","JOY","DESPAIR","MEH","MEH","DESPAIR","JOY","JOY","JOY","JOY","MEH","JOY","DESPAIR","JOY","MEH","JOY","JOY","MEH","MEH","JOY"
"","Male",41,"USA","DC","MEH","JOY","JOY","MEH","JOY","JOY","JOY","MEH","DESPAIR","JOY","DESPAIR","MEH","JOY","MEH","JOY","MEH","JOY","JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","JOY","MEH","JOY","JOY","DESPAIR","JOY","MEH","DESPAIR","MEH","DESPAIR","MEH","JOY","DESPAIR","DESPAIR","MEH","JOY","MEH","JOY","JOY","DESPAIR","JOY","DESPAIR","JOY","MEH","MEH","DESPAIR","DESPAIR","MEH","JOY","JOY","MEH","JOY","DESPAIR","DESPAIR","MEH","JOY","MEH","DESPAIR","MEH","JOY","DESPAIR","MEH","JOY"
"No","Female",46,"USA","TX","JOY","DESPAIR","DESPAIR","MEH","JOY","JOY","JOY","JOY","JOY","JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR","MEH","JOY","JOY","DESPAIR","MEH","MEH","MEH","DESPAIR","DESPAIR","MEH","MEH","JOY","JOY","MEH","DESPAIR","MEH","JOY","JOY","MEH","JOY","JOY","JOY","MEH","MEH","DESPAIR","MEH","DESPAIR","JOY","MEH","JOY","JOY","JOY","MEH","MEH","DESPAIR","JOY","JOY","MEH","MEH","MEH","JOY","JOY","JOY","JOY","MEH","MEH","DESPAIR","MEH","MEH","DESPAIR","JOY","DESPAIR"
"No","Female",50,"USA","CA","JOY","DESPAIR","DESPAIR","DESPAIR","MEH","JOY","JOY","DESPAIR","JOY","DESPAIR","JOY","DESPAIR","DESPAIR","JOY","DESPAIR","DESPAIR","JOY","JOY","JOY","JOY","MEH","DESPAIR","JOY","DESPAIR","JOY","DESPAIR","MEH","DESPAIR","DESPAIR","JOY","MEH","JOY","MEH","DESPAIR","JOY","JOY","JOY","JOY","JOY","JOY","DESPAIR","MEH","JOY","DESPAIR","DESPAIR","JOY","JOY","JOY","DESPAIR","JOY","JOY","JOY","MEH","JOY","JOY","JOY","JOY","MEH","DESPAIR","MEH","MEH","JOY","JOY","JOY","JOY","JOY"
"No","Male",53,"USA","FL","JOY","MEH","DESPAIR","DESPAIR","DESPAIR","DESPAIR","MEH","MEH","JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","DESPAIR","DESPAIR","MEH","JOY","JOY","JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR","MEH","MEH","JOY","DESPAIR","DESPAIR","MEH","JOY","JOY","JOY","MEH","JOY","DESPAIR","DESPAIR","JOY","DESPAIR","DESPAIR","DESPAIR","JOY","JOY","JOY","MEH","DESPAIR","DESPAIR","DESPAIR","JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","JOY","DESPAIR","JOY","MEH"
"No","Female",62,"USA","MN","MEH","MEH","MEH","DESPAIR","DESPAIR","JOY","JOY","JOY","JOY","JOY","MEH","JOY","MEH","JOY","JOY","MEH","JOY","JOY","JOY","JOY","JOY","DESPAIR","JOY","MEH","JOY","DESPAIR","JOY","JOY","JOY","JOY","MEH","JOY","DESPAIR","MEH","JOY","JOY","JOY","JOY","JOY","MEH","JOY","DESPAIR","JOY","DESPAIR","DESPAIR","DESPAIR","JOY","JOY","DESPAIR","JOY","MEH","MEH","MEH","JOY","DESPAIR","MEH","MEH","JOY","MEH","DESPAIR","MEH","JOY","JOY","MEH","JOY","JOY"
"Yes","Female",40,"USA","PA","JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR","MEH","MEH","JOY","JOY","DESPAIR","MEH","DESPAIR","JOY","JOY","MEH","JOY","JOY","JOY","JOY","JOY","JOY","DESPAIR","JOY","MEH","JOY","JOY","JOY","JOY","JOY","JOY","MEH","JOY","DESPAIR","JOY","MEH","JOY","JOY","JOY","JOY","JOY","JOY","MEH","JOY","MEH","JOY","DESPAIR","JOY","JOY","DESPAIR","JOY","JOY","JOY","MEH","JOY","MEH","JOY","JOY","JOY","MEH","JOY","JOY","JOY","JOY","JOY","JOY","JOY"
"","Male",33,"USA","VA","JOY","DESPAIR","MEH","MEH","MEH","JOY","DESPAIR","MEH","DESPAIR","MEH","MEH","JOY","JOY","MEH","JOY","DESPAIR","JOY","JOY","JOY","MEH","JOY","MEH","DESPAIR","MEH","JOY","MEH","JOY","JOY","JOY","JOY","MEH","JOY","MEH","DESPAIR","MEH","JOY","JOY","JOY","DESPAIR","JOY","DESPAIR","JOY","JOY","MEH","DESPAIR","JOY","JOY","JOY","JOY","DESPAIR","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","MEH"
"No","Female",42,"CANADA","AB","MEH","MEH","MEH","MEH","MEH","JOY","DESPAIR","DESPAIR","JOY","MEH","MEH","JOY","JOY","JOY","DESPAIR","MEH","DESPAIR","JOY","JOY","JOY","MEH","DESPAIR","JOY","JOY","JOY","JOY","JOY","DESPAIR","JOY","JOY","MEH","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","DESPAIR","JOY","JOY","MEH","DESPAIR","MEH","JOY","JOY","MEH","MEH","MEH","MEH","JOY","JOY","JOY","MEH","JOY","JOY","DESPAIR","MEH","JOY","JOY","JOY","DESPAIR","JOY","MEH"
"No","Male",38,"USA","DC","JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","MEH","DESPAIR","MEH","DESPAIR","MEH","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","JOY","MEH","MEH","DESPAIR","MEH","DESPAIR","JOY","MEH","MEH","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","MEH","JOY","MEH","DESPAIR","MEH","JOY","JOY","JOY","MEH","MEH","DESPAIR","JOY","MEH","DESPAIR","DESPAIR","DESPAIR","JOY","JOY","MEH","JOY","JOY","DESPAIR","DESPAIR","JOY","JOY","JOY","DESPAIR","MEH","DESPAIR","JOY","MEH","JOY","JOY","MEH","JOY","JOY"
"No","Male",44,"USA","OH","JOY","MEH","DESPAIR","DESPAIR","MEH","JOY","MEH","MEH","JOY","DESPAIR","MEH","DESPAIR","MEH","DESPAIR","DESPAIR","JOY","JOY","JOY","JOY","JOY","JOY","DESPAIR","JOY","DESPAIR","JOY","JOY","JOY","JOY","MEH","MEH","MEH","JOY","DESPAIR","DESPAIR","MEH","JOY","JOY","JOY","MEH","JOY","DESPAIR","JOY","JOY","JOY","DESPAIR","MEH","JOY","JOY","DESPAIR","JOY","MEH","JOY","DESPAIR","JOY","JOY","JOY","JOY","MEH","DESPAIR","JOY","DESPAIR","JOY","JOY","MEH","JOY","JOY"
"No","Male",37,"UK","","JOY","DESPAIR","JOY","MEH","MEH","JOY","JOY","MEH","JOY","MEH","DESPAIR","MEH","MEH","MEH","JOY","JOY","MEH","MEH","DESPAIR","DESPAIR","MEH","MEH","DESPAIR","JOY","JOY","MEH","MEH","MEH","DESPAIR","JOY","JOY","MEH","MEH","JOY","JOY","JOY","JOY","JOY","DESPAIR","MEH","MEH","JOY","JOY","JOY","JOY","MEH","JOY","MEH","MEH","JOY","JOY","MEH","JOY","JOY","MEH","JOY","MEH","DESPAIR","MEH","JOY","MEH","MEH","JOY","MEH","JOY","MEH"
"No","Male",28,"USA","MD","JOY","MEH","MEH","MEH","MEH","JOY","JOY","DESPAIR","JOY","MEH","DESPAIR","MEH","MEH","MEH","DESPAIR","JOY","MEH","JOY","JOY","JOY","JOY","MEH","JOY","MEH","MEH","MEH","MEH","MEH","DESPAIR","JOY","MEH","MEH","DESPAIR","JOY","MEH","JOY","MEH","JOY","JOY","MEH","DESPAIR","JOY","MEH","JOY","JOY","MEH","JOY","MEH","DESPAIR","MEH","JOY","MEH","JOY","JOY","JOY","JOY","JOY","JOY","MEH","JOY","DESPAIR","JOY","JOY","MEH","JOY","JOY"
"No","Female",45,"CANADA","ON","JOY","DESPAIR","DESPAIR","MEH","JOY","JOY","JOY","JOY","JOY","MEH","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","MEH","JOY","JOY","JOY","MEH","MEH","MEH","DESPAIR","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","MEH","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","MEH","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY"
"No","Male",42,"USA","MI","MEH","MEH","MEH","MEH","MEH","JOY","JOY","MEH","JOY","MEH","MEH","MEH","MEH","MEH","MEH","MEH","JOY","JOY","JOY","MEH","MEH","DESPAIR","MEH","MEH","JOY","MEH","MEH","JOY","MEH","MEH","MEH","JOY","MEH","MEH","MEH","JOY","JOY","JOY","MEH","MEH","MEH","MEH","MEH","MEH","DESPAIR","MEH","JOY","JOY","MEH","MEH","MEH","MEH","MEH","JOY","MEH","MEH","MEH","JOY","MEH","MEH","DESPAIR","MEH","JOY","MEH","JOY","MEH"
